onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
1017.7778	0	right	66.6666666667	left_hand.png	2.0	5088889.0	2	77	right	8	-24.2
1025.5006	0	right	133.33333333299998	left_hand.png	2.0	5127503.0	2	78	right	8	-27.0
1030.2212	0	left	183.33333333299998	right_hand.png	1.0	5151106.0	2	79	left	8	-0.4
1034.8412	0	right	83.3333333333	left_hand.png	2.0	5174206.0	2	80	right	8	-34.6
1039.4946	0	right	116.666666667	left_hand.png	2.0	5197473.0	2	81	right	8	-32.2
1044.1316	0	right	100.0	left_hand.png	2.0	5220658.0	2	82	right	8	-10.0
1049.686	0	right	116.666666667	left_hand.png	2.0	5248430.0	2	83	right	8	-9.2
1054.277	0	left	50.0	left_hand.png	1.0	5271385.0	2	84	right	8	-17.8
1058.8598	0	left	50.0	left_hand.png	1.0	5294299.0	2	85	right	8	2.6
1063.5172	0	left	116.666666667	left_hand.png	1.0	5317586.0	2	86	right	8	-16.4
1068.0872	0	left	33.3333333333	left_hand.png	1.0	5340436.0	2	87	right	8	-29.6
1072.7074	0	right	83.3333333333	left_hand.png	2.0	5363537.0	2	88	right	8	9.4
1077.3944	0	right	150.0	left_hand.png	2.0	5386972.0	2	89	right	8	-35.6
1082.048	0	right	116.666666667	left_hand.png	2.0	5410240.0	2	90	right	8	-26.8
1086.6822	0	right	100.0	left_hand.png	2.0	5433411.0	2	91	right	8	-39.0
1091.6854	0	right	66.6666666667	left_hand.png	2.0	5458427.0	2	92	right	8	-24.6
1096.3402	0	right	83.3333333333	left_hand.png	2.0	5481701.0	2	93	right	8	-20.2
1107.8178	0	left	116.666666667	right_hand.png	1.0	5539089.0	2	94	left	9	-3.4
1112.4382	0	left	83.3333333333	left_hand.png	1.0	5562191.0	2	95	right	9	-19.4
1117.692	0	right	116.666666667	left_hand.png	2.0	5588460.0	2	96	right	10	-18.4
1122.7126	0	right	166.66666666700002	left_hand.png	2.0	5613563.0	2	97	right	10	1.0
1127.3328	0	right	83.3333333333	right_hand.png	2.0	5636664.0	2	98	left	10	-36.8
